"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0X190","2020-04-19 00:00:00","10.000","198.000","0.600","26.300","0.890","1012.000","","0.000","-99.000","-99.000","-99.000","28.900","","23.000",""
"C0M710","2020-04-19 00:00:00","15.000","102.000","0.300","25.300","0.820","1012.100","","0.000","-99.000","-99.000","-99.000","28.200","","22.100",""
"C0D570","2020-04-19 00:00:00","15.000","0.000","0.000","22.900","0.970","1012.000","","0.000","-99.000","-99.000","-99.000","28.600","","18.200",""
"C0S910","2020-04-19 00:00:00","212.000","0.000","0.100","24.500","0.990","992.100","","0.000","-99.000","-99.000","-99.000","29.500","","23.100",""
"C0M650","2020-04-19 00:00:00","20.000","44.000","0.700","25.000","0.830","1011.800","","0.000","-99.000","-99.000","-99.000","30.400","","20.500",""
"C0K280","2020-04-19 00:00:00","23.000","75.000","0.500","24.200","0.950","1013.100","","0.000","-99.000","-99.000","-99.000","32.100","","19.500",""
"C0U990","2020-04-19 00:00:00","31.000","246.000","0.500","23.300","0.860","1011.600","","0.000","-99.000","-99.000","-99.000","27.500","","19.800",""
"C0M700","2020-04-19 00:00:00","150.000","86.000","1.500","23.700","0.910","997.600","","0.000","-99.000","-99.000","-99.000","31.400","","18.900",""
"C0A970","2020-04-19 00:00:00","96.000","201.000","1.500","22.600","0.990","1003.800","","0.000","-99.000","-99.000","-99.000","26.000","","20.400",""
"CM0110","2020-04-19 00:00:00","7.000","0.000","0.200","25.500","0.750","1013.100","","-99.000","-99.000","-99.000","-99.000","28.700","","21.400",""
"C0S940","2020-04-19 00:00:00","150.000","0.000","0.100","23.500","0.930","997.000","","1.500","-99.000","-99.000","-99.000","30.800","","22.100",""
"C0X250","2020-04-19 00:00:00","33.000","0.000","0.000","26.100","0.750","1010.000","","0.000","-99.000","-99.000","-99.000","31.400","","21.500",""
"C0K520","2020-04-19 00:00:00","10.000","90.000","0.300","25.400","0.770","1011.500","","0.000","-99.000","-99.000","-99.000","29.500","","21.500",""
"C0Z200","2020-04-19 00:00:00","153.000","326.000","0.600","22.700","0.870","998.300","","0.000","-99.000","-99.000","-99.000","28.900","","17.800",""
"C0V740","2020-04-19 00:00:00","60.000","324.000","1.600","25.500","0.900","1007.900","","0.000","-99.000","-99.000","-99.000","32.800","","20.200",""
"C0V790","2020-04-19 00:00:00","410.000","16.000","2.800","22.800","0.830","967.400","","0.000","-99.000","-99.000","-99.000","32.000","","18.400",""
"C0G860","2020-04-19 00:00:00","45.000","138.000","0.500","25.700","0.730","1008.000","","0.000","-99.000","-99.000","-99.000","30.900","","22.300",""
"C0Z250","2020-04-19 00:00:00","1124.000","168.000","0.500","17.300","0.990","891.900","","0.000","-99.000","-99.000","-99.000","24.300","","14.200",""
"C0K440","2020-04-19 00:00:00","35.000","0.000","0.000","25.200","1.000","1010.000","","0.000","-99.000","-99.000","-99.000","30.000","","21.000",""
"C0T900","2020-04-19 00:00:00","160.000","0.000","0.100","22.100","0.840","995.000","","3.000","-99.000","-99.000","-99.000","29.500","","19.000",""
"C0F9V0","2020-04-19 00:00:00","525.000","175.000","0.900","22.300","0.840","956.600","","0.000","-99.000","-99.000","-99.000","28.300","","19.100",""
"C0UA20","2020-04-19 00:00:00","2619.000","212.000","3.700","10.200","0.610","-99.000","","0.000","-99.000","-99.000","-99.000","19.300","","7.000",""
"C0M850","2020-04-19 00:00:00","695.000","0.000","0.000","20.900","0.990","936.400","","0.000","-99.000","-99.000","-99.000","30.700","","16.600",""
"C0C620","2020-04-19 00:00:00","19.000","140.000","0.500","24.600","0.970","1010.200","","0.000","-99.000","-99.000","-99.000","31.300","","20.300",""
"C0I360","2020-04-19 00:00:00","300.000","38.000","1.500","22.200","0.830","979.400","","0.000","-99.000","-99.000","-99.000","29.800","","19.000",""
"C0M810","2020-04-19 00:00:00","1354.000","296.000","0.400","16.900","0.990","868.000","","0.000","-99.000","-99.000","-99.000","24.600","","15.800",""
"C0AC80","2020-04-19 00:00:00","40.000","0.000","0.000","21.200","0.930","1009.000","","0.000","-99.000","-99.000","-99.000","28.700","","17.500",""
"CM0140","2020-04-19 00:00:00","26.000","352.000","0.700","24.500","0.820","1012.000","","8.500","-99.000","-99.000","-99.000","28.700","","23.600",""
